customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,No,34,No,No,No,No,No,No,No,No,Yes,One year,Yes,Bank transfer,28.814690639938327,986.64,No
CUST00001,Female,0,No,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,61.37922989763703,3062.36,No
CUST00002,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,79.8181720996484,2870.8,No
CUST00003,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer,68.69755389280103,3848.78,No
CUST00004,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,76.25797839621231,529.47,No
CUST00005,Female,0,Yes,Yes,19,Yes,No,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,34.90128861336596,672.69,Yes
CUST00006,Male,1,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,71.42828279216766,3709.53,Yes
CUST00007,Male,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,70.5554362337257,775.5,No
CUST00008,Male,1,No,No,48,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,51.25769415081959,2467.92,No
CUST00009,Female,0,No,No,16,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,77.47021870347885,1231.12,No
CUST00010,Male,0,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,62.43653999613715,3939.92,Yes
CUST00011,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,89.5697618971031,3673.78,No
CUST00012,Male,1,No,No,28,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card,49.61773304311291,1379.93,No
CUST00013,Male,1,Yes,No,18,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,55.294260665006895,1003.35,No
CUST00014,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,58.39842715149807,574.77,No
CUST00015,Male,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,50.84491542252226,2491.71,Yes
CUST00016,Female,0,No,Yes,70,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,58.28567418517121,4070.98,Yes
CUST00017,Female,0,No,No,57,Yes,Yes,No,No,No,No,No,No,Yes,One year,Yes,Mailed check,25.268519540341423,1431.73,No
CUST00018,Female,1,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,74.44311265466736,2464.37,No
CUST00019,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card,81.05906336174777,1545.44,No
CUST00020,Female,0,Yes,No,49,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,76.19160024662705,3727.33,No
CUST00021,Male,0,No,Yes,9,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,56.19587100222688,508.17,Yes
CUST00022,Female,1,Yes,Yes,31,Yes,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,25.377591395984005,792.6,Yes
CUST00023,Female,0,Yes,No,51,No,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer,52.906662615993774,2706.03,No
CUST00024,Female,0,No,No,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,44.13686263739004,617.28,No
CUST00025,Female,0,Yes,Yes,2,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,80.50264097859178,168.96,No
CUST00026,Female,0,Yes,Yes,36,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,52.96063429708195,1906.74,Yes
CUST00027,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,67.87746512551398,2650.99,No
CUST00028,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,69.83015156250259,4967.52,No
CUST00029,Female,1,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,70.418627957209,2741.05,Yes
CUST00030,Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,79.89045414091152,4387.35,No
CUST00031,Male,1,No,No,22,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,50.47751941078396,1107.35,Yes
CUST00032,Female,1,No,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,77.88341427794686,772.12,No
